name group t dt Mstar Mdot dMdot f df
CVSO_40 OriOB1a 10.8 2.9 0.53 2.0 0.0 6 1.6
CVSO_298 OriOB1a 10.8 2.9 0.56 1.3 0.5 6 1.6
CVSO_156 OriOB1b 5.0 2.1 0.34 1.4 0.4 12 2.666
CVSO_1600E OriOB1b 5.0 2.1 0.27 2.3 0.5 12 2.666
CVSO_1600W OriOB1b 5.0 2.1 0.27 2.8 0.3 12 2.666
CVSO_1739 OriOB1b 5.0 2.1 0.1 1.7 0.2 12 2.666
CVSO_1772 OriOB1b 5.0 2.1 0.29 0.4 0.1 12 2.666
CVSO_1842 OriOB1b 5.0 2.1 0.32 1.0 0.4 12 2.666
CVSO_1886 OriOB1b 5.0 2.1 0.28 2.9 0.8 12 2.666
CVSO_1545 OriOB1b 5.0 2.1 0.17 1.4 0.4 12 2.666
CVSO_1295 Ori_Cloud_A 3.3 1.6 0.59 1.5 0.4 28 6
CVSO_1575 Ori_Cloud_A 3.3 1.6 0.57 1.0 0.2 28 6
CVSO_1711 Ori_Cloud_A 3.3 1.6 0.52 1.2 0.5 28 6
CVSO_1763 Ori_Cloud_A 3.3 1.6 1.09 3.8 0.6 28 6
CVSO_1928 Ori_Cloud_A 3.3 1.6 0.47 1.3 0.4 28 6
CVSO_1942 Ori_Cloud_B 2.45 1.3 0.72 1.3 0.4 31 11
ISO-ChaI_52 Chamaeleon_I 2 0.4 0.18 1.1 0.4 44 0
CHSM_13620 Chamaeleon_I 2 0.4 0.34 1.4 0.4 44 0
J16020757 Upper_Sco 11 1 0.32 0.7 0.3 21 1
J16253849 Upper_Sco 11 1 0.56 1.1 0.2 21 1
J16042165 Upper_Sco 11 1 1.39 2.1 0.7 21 1
J08074647 gamma_Vel 7.5 0.0 0.16 0.4 0.1 6 0
J08075546 gamma_Vel 7.5 0.0 1.15 1.4 0.4 6 0
SO682 sigma_Ori 3 0 0.46 1.3 0.2 36 4
